Year,State,whf,bhf,aihf,ashf,pihf,wnhf,bnhf,ainhf,asnhf,pinhf,whm,bhm,aihm,ashm,pihm,wnhm,bnhm,ainhm,asnhm,pinhm
2012,New Hampshire,17883,1807,762,396,152,624209,10003,4815,19283,520,18011,2109,839,403,169,606161,11904,4904,17765,499
2013,New Hampshire,18645,1918,802,394,160,622867,10387,4835,19975,536,18724,2240,889,424,178,605322,12309,4968,18413,522
2014,New Hampshire,19187,1986,846,411,171,623210,10527,4885,20719,546,19402,2322,957,455,176,606272,12708,5034,18969,544
2010,New Jersey,673034,91620,24724,10404,3567,2737595,635521,21406,405504,4628,685058,88102,27403,10426,3751,2587921,559687,19461,385375,4179
2011,New Jersey,692623,95106,25312,10787,3680,2717357,637865,21531,418517,4742,703908,91908,27941,10797,3857,2574423,562613,19687,398256,4312
2012,New Jersey,709735,98517,25900,11127,3838,2698053,640549,21709,431357,4896,720506,95338,28424,11189,3955,2559558,565659,19882,410312,4449
2013,New Jersey,726403,101864,26699,11508,3954,2679265,643750,21780,444089,5025,736870,98992,29014,11577,4105,2545479,569442,19994,422101,4576
2014,New Jersey,742441,105017,27428,11962,4112,2658473,646876,21903,455540,5135,752621,102470,29703,12039,4220,2529232,572862,20095,432134,4702
2010,New Mexico,455805,9254,22158,4202,1472,437515,20232,98663,18956,1401,447879,8881,22712,3994,1455,425764,24666,91913,16344,1495
2011,New Mexico,461220,9463,23241,4352,1508,435668,20721,99302,19645,1470,453098,9112,23717,4076,1484,425333,25306,92490,16863,1560
2012,New Mexico,464863,9656,24020,4437,1519,432158,20992,99853,20229,1543,456880,9320,24755,4157,1507,423683,25821,92643,17407,1583
2013,New Mexico,468246,9853,24538,4532,1561,427810,21284,100477,20777,1595,460308,9530,25378,4286,1540,419914,26431,93123,17899,1636
2014,New Mexico,470992,10052,24845,4612,1592,422860,21704,100869,21269,1577,462888,9716,25695,4386,1580,415786,26977,93251,18274,1693
2010,New York,1346467,346173,86301,27462,11895,5926847,1603840,68439,817183,12146,1332456,305397,87972,26303,11322,5632458,1377954,62044,759427,10827
