State,Year,wnhm,bnhm,ainhm,asnhm,pinhm,whm,bhm,aihm,ashm,pihm,wnhf,bnhf,ainhf,asnhf,pinhf,whf,bhf,aihf,ashf,pihf
Kansas,2002,"1,117,473","85,431","20,157","29,407","1,333","104,526","3,390","2,761",795,304,"1,157,249","84,865","20,641","30,235","1,280","90,310","3,352","2,410",719,295
Kansas,2001,"1,116,259","84,544","20,208","28,084","1,311","100,731","3,220","2,701",763,270,"1,158,173","83,837","20,661","28,991","1,258","86,813","3,176","2,378",684,279
Kansas,2000,"1,115,572","84,197","20,324","27,117","1,291","96,823","3,071","2,641",722,263,"1,160,222","83,287","20,748","27,965","1,247","83,519","3,028","2,349",658,270
Kentucky,2005,"1,828,146","160,346","10,975","21,818","1,498","43,472","2,788","1,005",690,386,"1,905,723","167,690","11,373","22,827","1,440","31,630","2,337",776,602,201
Kentucky,2004,"1,814,883","158,140","10,854","20,881","1,467","41,384","2,697",974,627,352,"1,896,245","166,018","11,264","21,967","1,403","29,805","2,227",727,545,197
Kentucky,2003,"1,805,232","156,581","10,839","19,919","1,424","39,181","2,572",950,561,309,"1,889,366","164,277","11,191","21,035","1,376","27,898","2,126",703,490,166
Kentucky,2002,"1,794,191","154,875","10,760","18,968","1,382","36,815","2,440",892,484,279,"1,881,016","162,613","11,130","20,138","1,355","25,919","2,010",659,425,146
Kentucky,2001,"1,786,519","153,170","10,836","18,104","1,338","34,904","2,358",857,456,264,"1,875,011","160,925","11,139","19,215","1,299","24,143","1,929",629,394,135
Kentucky,2000,"1,779,860","151,119","10,685","17,244","1,299","32,916","2,299",846,420,259,"1,871,845","159,329","11,077","18,512","1,265","22,423","1,860",604,362,135
Louisiana,2005,"1,384,576","709,295","20,407","35,582","1,415","59,498","5,870","1,459",786,303,"1,431,028","792,542","20,832","35,208","1,412","54,645","6,358","1,354",774,231
Louisiana,2004,"1,382,707","703,519","20,353","34,859","1,404","57,447","5,908","1,458",791,294,"1,431,052","787,798","20,751","34,414","1,396","52,966","6,353","1,366",751,229
Louisiana,2003,"1,380,705","698,981","20,165","33,885","1,397","55,078","5,921","1,433",754,309,"1,431,971","782,691","20,585","33,573","1,381","51,194","6,320","1,348",710,215
Louisiana,2002,"1,378,393","694,280","20,059","32,835","1,359","52,987","5,933","1,392",729,290,"1,433,243","778,254","20,493","32,662","1,356","49,541","6,319","1,329",677,208
Louisiana,2001,"1,379,014","690,033","19,963","31,899","1,343","50,677","5,983","1,367",677,265,"1,436,420","774,388","20,432","31,664","1,342","47,813","6,340","1,319",653,219
Louisiana,2000,"1,383,754","687,845","19,836","31,627","1,326","48,353","6,010","1,358",647,266,"1,443,481","773,108","20,320","31,343","1,335","46,201","6,378","1,315",650,192
Maine,2005,"624,678","7,130","6,272","6,341",361,"6,182",458,168,121,20,"655,780","5,450","6,648","7,397",401,"5,888",418,188,98,37
Maine,2004,"621,821","6,746","6,199","6,100",339,"5,855",450,161,111,27,"653,594","5,197","6,637","7,184",394,"5,627",400,197,92,30
Maine,2003,"619,055","6,428","6,204","5,854",337,"5,507",432,161,110,18,"651,101","4,934","6,638","6,996",382,"5,308",387,182,84,41
Maine,2002,"614,081","5,854","6,148","5,599",317,"5,079",412,156,103,18,"646,946","4,516","6,599","6,716",370,"4,921",344,186,85,27
Maine,2001,"609,245","5,504","6,099","5,351",318,"4,706",388,154,98,16,"642,831","4,242","6,518","6,461",347,"4,639",339,174,79,32
Maine,2000,"605,289","5,221","6,049","5,184",298,"4,304",372,164,101,28,"639,318","4,000","6,424","6,314",347,"4,258",305,181,87,32
Maryland,2005,"1,648,757","775,540","17,032","141,093","2,896","148,669","16,971","3,524","2,402",741,"1,726,951","879,126","18,722","150,596","3,101","132,109","17,443","3,179","2,509",666
Maryland,2004,"1,653,002","763,785","16,999","136,431","2,838","139,527","15,713","3,351","2,206",695,"1,732,674","867,735","18,750","145,987","3,030","124,682","16,212","3,037","2,292",616
