table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Nevada: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
...White,"753,170","753,716","751,324","744,061","734,812","725,275","708,044","694,854","682,448","668,688","663,567","663,566"
...Black,"108,748","106,819","103,770","99,224","93,794","88,658","83,490","80,119","76,204","72,036","71,318","71,318"
...AIAN,"22,335","22,187","21,903","21,191","20,595","20,037","19,332","18,779","18,222","17,499","17,326","17,326"
...Asian,"106,659","103,873","99,510","93,495","86,828","80,636","74,617","69,542","64,342","59,415","58,431","58,431"
...NHPI,"11,501","11,238","10,876","10,316","9,699","9,207","8,704","8,332","7,800","7,307","7,200","7,200"
.HISPANIC,"328,740","318,493","305,163","286,065","266,161","248,590","231,726","217,621","202,464","186,779","183,848","183,848"
..One Race,"322,844","312,826","299,813","281,136","261,644","244,442","227,938","214,150","199,304","183,929","181,051","181,051"
...White,"302,691","293,628","281,708","264,439","246,450","230,598","215,431","202,892","189,251","175,085","172,346","172,346"
...Black,"10,935","10,229","9,480","8,584","7,591","6,715","5,853","5,127","4,353","3,568","3,515","3,515"
...AIAN,"5,619","5,459","5,247","4,928","4,617","4,317","4,014","3,640","3,358","3,099","3,050","3,050"
...Asian,"2,602","2,533","2,437","2,294","2,149","2,023","1,903","1,799","1,699","1,589","1,560","1,560"
...NHPI,997,977,941,891,837,789,737,692,643,588,580,580
..Two or More Races,"5,896","5,667","5,350","4,929","4,517","4,148","3,788","3,471","3,160","2,850","2,797","2,797"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"307,750","298,495","286,321","268,679","250,356","234,172","218,704","205,893","191,984","177,555","174,772","174,772"
...Black,"12,708","11,931","11,091","10,071","8,951","7,975","6,992","6,174","5,312","4,426","4,358","4,358"
...AIAN,"7,842","7,638","7,322","6,866","6,423","5,991","5,581","5,089","4,695","4,331","4,261","4,261"
...Asian,"5,131","4,929","4,674","4,338","3,990","3,698","3,401","3,172","2,923","2,682","2,631","2,631"
...NHPI,"2,258","2,160","2,025","1,876","1,717","1,571","1,435","1,315","1,188","1,062","1,044","1,044"
1 'In combination' means in combination with one or more other races.  The sum of the five race groups adds to more than the total population because individuals may report more than one race.,,,,,,,,,,,,
"Note: The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program and geographic program revisions.  Hispanic origin is considered an ethnicity, not a race.  Hispanics may be of any race.  Abbreviations: Black = Black or African American; AIAN = American Indian and Alaska Native; NHPI = Native Hawaiian and Other Pacific Islander.  The original race data from Census 2000 are modified to eliminate the ""Some Other Race"" category. For more information see https://www.census.gov/popest/archives/files/MRSF-01-US1.html.",,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Nevada: April 1, 2000 to July 1, 2009 (SC-EST2009-03-32)",,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,
Release Date: June 2010,,,,,,,,,,,,
,,,,,,,,,,,,
