"","State","Year","Month","quantity.sum","total_cost.sum","policeweapon_quantity.sum","policeweapon_totalcost.sum","policerecord_quantity.sum","policerecord_totalcost.sum","policeammo_quantity.sum","policeammo_totalcost.sum","policecar_quantity.sum","policecar_totalcost.sum","disaster_quantity.sum","disaster_totalcost.sum","medical_quantity.sum","medical_totalcost.sum","State.1","Year.1","Month.1","day.mean","army_clothing_bags_quantity.sum","army_clothing_bags_totalcost.sum"
"141","Arizona",2009,"January",212,175332.32,0,0,110,169651.32,0,0,0,0,0,0,0,0,"Arizona",2009,"January",20.95,0,0
"147","Arizona",2009,"July",181,1925305.45,6,192,69,22632,0,0,0,0,0,0,0,0,"Arizona",2009,"July",13.8888888888889,0,0
"146","Arizona",2009,"June",21,1808.49,0,0,1,545.69,0,0,0,0,0,0,0,0,"Arizona",2009,"June",17.5,0,0
"143","Arizona",2009,"March",104,118634.6,0,0,101,43464.6,0,0,0,0,0,0,0,0,"Arizona",2009,"March",13.9,0,0
"145","Arizona",2009,"May",2,2562,0,0,0,0,0,0,0,0,0,0,0,0,"Arizona",2009,"May",12,0,0
"150","Arizona",2009,"November",154,181334.9,1,150000,109,30788.2,0,0,0,0,0,0,0,0,"Arizona",2009,"November",12.125,0,0
"149","Arizona",2009,"October",27,83292.29,0,0,10,3752,0,0,0,0,0,0,0,0,"Arizona",2009,"October",11,0,0
"148","Arizona",2009,"September",30,130147.92,0,0,26,24440,0,0,0,0,0,0,0,0,"Arizona",2009,"September",29.6666666666667,0,0
"155","Arizona",2010,"April",11,13219.15,2,101.92,6,12099,0,0,0,0,0,0,0,0,"Arizona",2010,"April",19.8333333333333,0,0
"159","Arizona",2010,"August",246,160124.66,47,4501,103,60008,50,2200,0,0,0,0,0,0,"Arizona",2010,"August",13.7045454545455,0,0
"163","Arizona",2010,"December",180,12512.06,21,876,28,8806,100,931,0,0,0,0,0,0,"Arizona",2010,"December",17.5384615384615,0,0
"153","Arizona",2010,"February",146,180891.12,1,674.12,142,46576,0,0,0,0,0,0,0,0,"Arizona",2010,"February",7.75,0,0
"152","Arizona",2010,"January",83,79292.82,0,0,14,10712,0,0,0,0,0,0,0,0,"Arizona",2010,"January",16.2857142857143,0,0
"158","Arizona",2010,"July",259,24883.24,63,4208.92,33,11516.17,150,1396.5,10,7562.6,0,0,0,0,"Arizona",2010,"July",12.8,0,0
"157","Arizona",2010,"June",37,7270.74,0,0,12,3396.78,0,0,0,0,0,0,0,0,"Arizona",2010,"June",10.25,0,0
"154","Arizona",2010,"March",26,22262.23,0,0,17,20755,0,0,0,0,0,0,0,0,"Arizona",2010,"March",16.5625,0,0
"156","Arizona",2010,"May",5,109.84,1,0,0,0,0,0,0,0,0,0,0,0,"Arizona",2010,"May",18.5,0,0
"162","Arizona",2010,"November",52,17223.22,0,0,41,10109.92,0,0,0,0,0,0,0,0,"Arizona",2010,"November",18,0,0
"161","Arizona",2010,"October",715,73010.3,0,0,196,67663,50,586.86,0,0,0,0,0,0,"Arizona",2010,"October",14.6666666666667,0,0
"160","Arizona",2010,"September",138,210585,11,348,125,137761,0,0,0,0,0,0,0,0,"Arizona",2010,"September",9.04545454545454,0,0
"167","Arizona",2011,"April",621,190040.42,190,34580,344,128187.15,0,0,0,0,0,0,0,0,"Arizona",2011,"April",10.0869565217391,0,0
"171","Arizona",2011,"August",533,1448210.09,127,6493,102,1256552.29,0,0,1,135.24,0,0,0,0,"Arizona",2011,"August",11.84,0,0
"175","Arizona",2011,"December",3111,1013732.58,554,316081.26,251,518848.4,2296,21393.16,0,0,0,0,0,0,"Arizona",2011,"December",14.4102564102564,0,0
"165","Arizona",2011,"February",42,300807.31,2,28000,25,8527.39,0,0,0,0,0,0,0,0,"Arizona",2011,"February",15.5,0,0
"164","Arizona",2011,"January",292,149987.49,228,15252.52,27,45862.2,1,75.43,0,0,30,7118.7,0,0,"Arizona",2011,"January",15.3333333333333,0,0
"170","Arizona",2011,"July",534,714078.15,224,12264.53,210,676713.62,0,0,0,0,0,0,0,0,"Arizona",2011,"July",20.84,0,0
"169","Arizona",2011,"June",145,434755.8,37,11602.36,74,126711.4,0,0,0,0,0,0,0,0,"Arizona",2011,"June",11.9189189189189,0,0
"166","Arizona",2011,"March",102,132149.29,27,3099.45,59,50452,0,0,0,0,12,6027.84,0,0,"Arizona",2011,"March",20.0454545454545,0,0
