"","State","Year","Month","Quantity.sum","Acquisition.Value.sum","policeweapon_quantity.sum","policeweapon_totalcost.sum","policerecord_quantity.sum","policerecord_totalcost.sum","policeammo_quantity.sum","policeammo_totalcost.sum","policecar_quantity.sum","policecar_totalcost.sum","disaster_quantity.sum","disaster_totalcost.sum","medical_quantity.sum","medical_totalcost.sum","State","Year","Month","day.mean"
"148","Arizona","2006","September",20,2760,20,2760,0,0,0,0,0,0,0,0,0,0,"Arizona","2006","September",21
"149","Arizona","2006","December",304,114362.81,304,114362.81,0,0,0,0,0,0,0,0,0,0,"Arizona","2006","December",7.10197368421053
"150","Arizona","2007","March",8,1104,8,1104,0,0,0,0,0,0,0,0,0,0,"Arizona","2007","March",16
"151","Arizona","2007","July",14,6986,14,6986,0,0,0,0,0,0,0,0,0,0,"Arizona","2007","July",27
"152","Arizona","2007","September",8,1104,8,1104,0,0,0,0,0,0,0,0,0,0,"Arizona","2007","September",25
"153","Arizona","2007","October",3,473924,0,0,3,473924,0,0,0,0,0,0,0,0,"Arizona","2007","October",29.3333333333333
"154","Arizona","2007","November",3,398004,0,0,0,0,0,0,0,0,0,0,0,0,"Arizona","2007","November",6
"155","Arizona","2008","February",43,21457,43,21457,0,0,0,0,0,0,0,0,0,0,"Arizona","2008","February",11
"156","Arizona","2008","April",9,2325,9,2325,0,0,0,0,0,0,0,0,0,0,"Arizona","2008","April",15
"157","Arizona","2008","May",138,26499.84,0,0,138,26499.84,0,0,0,0,0,0,0,0,"Arizona","2008","May",22
"158","Arizona","2008","September",5,265484,4,65484,0,0,0,0,0,0,0,0,0,0,"Arizona","2008","September",7.4
"159","Arizona","2008","October",63,213610,62,13610,0,0,0,0,0,0,0,0,0,0,"Arizona","2008","October",13.6190476190476
"160","Arizona","2008","November",62,8556,62,8556,0,0,0,0,0,0,0,0,0,0,"Arizona","2008","November",13
"161","Arizona","2009","January",1,8698.97,0,0,1,8698.97,0,0,0,0,0,0,0,0,"Arizona","2009","January",28
"162","Arizona","2009","February",1,5191.2,0,0,0,0,0,0,0,0,0,0,0,0,"Arizona","2009","February",23
"163","Arizona","2009","June",1,12888.45,0,0,0,0,0,0,0,0,0,0,0,0,"Arizona","2009","June",11
"164","Arizona","2009","July",3,1825070,1,65070,0,0,0,0,0,0,0,0,0,0,"Arizona","2009","July",9
"165","Arizona","2009","October",6,331,6,331,0,0,0,0,0,0,0,0,0,0,"Arizona","2009","October",28
"166","Arizona","2009","November",82,662,82,662,0,0,0,0,0,0,0,0,0,0,"Arizona","2009","November",21.5
"167","Arizona","2009","December",1,65070,1,65070,0,0,0,0,0,0,0,0,0,0,"Arizona","2009","December",1
"168","Arizona","2010","January",5,65401,5,65401,0,0,0,0,0,0,0,0,0,0,"Arizona","2010","January",23
"169","Arizona","2010","February",144,91742,142,2648,0,0,0,0,0,0,0,0,0,0,"Arizona","2010","February",7
"170","Arizona","2010","March",8,17664,0,0,0,0,0,0,0,0,0,0,0,0,"Arizona","2010","March",24
"171","Arizona","2010","April",3,9621,0,0,3,9621,0,0,0,0,0,0,0,0,"Arizona","2010","April",22
"172","Arizona","2010","May",1,42427,1,42427,0,0,0,0,0,0,0,0,0,0,"Arizona","2010","May",11
"173","Arizona","2010","August",21,79922,20,2400,0,0,0,0,0,0,0,0,0,0,"Arizona","2010","August",2.80952380952381
"174","Arizona","2010","September",21,108113,10,331,10,44100,0,0,0,0,0,0,0,0,"Arizona","2010","September",6.08333333333333
"175","Arizona","2010","October",61,993,61,993,0,0,0,0,0,0,0,0,0,0,"Arizona","2010","October",14
"176","Arizona","2010","November",10,331,10,331,0,0,0,0,0,0,0,0,0,0,"Arizona","2010","November",30
"177","Arizona","2010","December",7,876,7,876,0,0,0,0,0,0,0,0,0,0,"Arizona","2010","December",15.7142857142857
"178","Arizona","2011","January",189,44668.64,188,121.64,0,0,0,0,0,0,0,0,0,0,"Arizona","2011","January",26
"179","Arizona","2011","February",11,39777,10,331,0,0,0,0,0,0,0,0,0,0,"Arizona","2011","February",10
"180","Arizona","2011","March",13,66726,13,66726,0,0,0,0,0,0,0,0,0,0,"Arizona","2011","March",24.3076923076923
"181","Arizona","2011","April",21,5895,20,2317,1,3578,0,0,0,0,0,0,0,0,"Arizona","2011","April",6.75
"182","Arizona","2011","May",210,50974,210,50974,0,0,0,0,0,0,0,0,0,0,"Arizona","2011","May",22.038961038961
"183","Arizona","2011","June",44,147058.26,6,352.26,36,64584,0,0,0,0,0,0,0,0,"Arizona","2011","June",9.86363636363636
"184","Arizona","2011","July",12,48733,0,0,12,48733,0,0,0,0,0,0,0,0,"Arizona","2011","July",25.8333333333333
"185","Arizona","2011","August",35,181527,27,5983,4,11300,0,0,0,0,0,0,0,0,"Arizona","2011","August",8.61111111111111
"186","Arizona","2011","September",32,427162,23,7613,0,0,0,0,0,0,0,0,0,0,"Arizona","2011","September",23.78125
"187","Arizona","2011","October",10,1362529,3,1300000,6,21468,0,0,0,0,0,0,0,0,"Arizona","2011","October",12.7
"188","Arizona","2011","November",188,3528460,141,886009,0,0,0,0,0,0,0,0,0,0,"Arizona","2011","November",12.5265957446809
"189","Arizona","2011","December",430,356519.58,185,41855.47,52,186839,190,12.11,0,0,0,0,0,0,"Arizona","2011","December",15.4625550660793
"190","Arizona","2012","January",107,310578,55,23601,52,286977,0,0,0,0,0,0,0,0,"Arizona","2012","January",7.41747572815534
"191","Arizona","2012","February",27,63927,17,5627,10,58300,0,0,0,0,0,0,0,0,"Arizona","2012","February",26.1481481481481
"192","Arizona","2012","March",171,1538085,155,77648,10,60000,0,0,0,0,0,0,0,0,"Arizona","2012","March",9.03636363636364
"193","Arizona","2012","April",72,353698.13,56,24818.13,11,63578,0,0,0,0,0,0,0,0,"Arizona","2012","April",18.0972222222222
"194","Arizona","2012","May",66,719894.76,23,8471,30,37099.76,0,0,0,0,0,0,0,0,"Arizona","2012","May",16.9090909090909
