"","State","Year","Month","civil_noninstitutionalpop","laborforce","percentlaborforce","totalemploy","peremploy","totalunemploy","unemployrate"
"14233","Nebraska","1998","May",1264619,928892,73.5,906071,71.6,22821,2.5
"14234","Nevada","1998","May",1406487,972676,69.2,929909,66.1,42767,4.4
"14235","New Hampshire","1998","May",918668,659420,71.8,641257,69.8,18163,2.8
"14236","New Jersey","1998","May",6345002,4242459,66.9,4044912,63.7,197547,4.7
"14237","New Mexico","1998","May",1314436,835462,63.6,784188,59.7,51274,6.1
"14238","New York","1998","May",14370169,9051225,63,8545004,59.5,506221,5.6
"14241","North Dakota","1998","May",486270,350328,72,340726,70.1,9602,2.7
"14242","Ohio","1998","May",8569867,5697399,66.5,5455961,63.7,241438,4.2
"14243","Oklahoma","1998","May",2531068,1633882,64.6,1563235,61.8,70647,4.3
"14244","Oregon","1998","May",2577320,1776587,68.9,1675686,65,100901,5.7
"14245","Pennsylvania","1998","May",9434612,6055107,64.2,5778108,61.2,276999,4.6
"14246","Rhode Island","1998","May",799314,531861,66.5,506908,63.4,24953,4.7
"14247","South Carolina","1998","May",2939775,1932292,65.7,1863248,63.4,69044,3.6
"14248","South Dakota","1998","May",550972,398236,72.3,387066,70.3,11170,2.8
"14249","Tennessee","1998","May",4266103,2800844,65.7,2680949,62.8,119895,4.3
"14250","Texas","1998","May",14599737,10071541,69,9581001,65.6,490540,4.9
"14251","Utah","1998","May",1521290,1096712,72.1,1056539,69.5,40173,3.7
"14252","Vermont","1998","May",462461,332986,72,321529,69.5,11457,3.4
"14253","Virginia","1998","May",5161892,3472011,67.3,3372891,65.3,99120,2.9
"14254","Washington","1998","May",4339563,3036695,70,2895260,66.7,141435,4.7
"14255","West Virginia","1998","May",1434525,795442,55.4,741789,51.7,53653,6.7
"14256","Wisconsin","1998","May",4010004,2970583,74.1,2876065,71.7,94518,3.2
"14257","Wyoming","1998","May",366169,257069,70.2,245048,66.9,12021,4.7
"14258","Alabama","1998","June",3341813,2139862,64,2046062,61.2,93800,4.4
"14259","Alaska","1998","June",426121,315599,74.1,295662,69.4,19937,6.3
"14260","Arizona","1998","June",3676947,2379767,64.7,2279105,62,100662,4.2
"14261","Arkansas","1998","June",1980001,1239301,62.6,1175755,59.4,63546,5.1
"14262","California","1998","June",24249336,16131279,66.5,15171899,62.6,959380,5.9
"14264","Colorado","1998","June",3106705,2311896,74.4,2225992,71.7,85904,3.7
"14265","Connecticut","1998","June",2572234,1739475,67.6,1680156,65.3,59319,3.4
"14266","Delaware","1998","June",580759,395564,68.1,380281,65.5,15283,3.9
"14267","District of Columbia","1998","June",452292,292901,64.8,267711,59.2,25190,8.6
"14268","Florida","1998","June",12046232,7509547,62.3,7185740,59.7,323807,4.3
"14269","Georgia","1998","June",5847109,4066496,69.5,3893141,66.6,173355,4.3
"14270","Hawaii","1998","June",895378,601899,67.2,564798,63.1,37101,6.2
"14271","Idaho","1998","June",916013,648339,70.8,615428,67.2,32911,5.1
"14272","Illinois","1998","June",9226389,6326400,68.6,6056601,65.6,269799,4.3
"14273","Indiana","1998","June",4536873,3115731,68.7,3024592,66.7,91139,2.9
"14274","Iowa","1998","June",2212466,1594827,72.1,1551250,70.1,43577,2.7
"14275","Kansas","1998","June",1974205,1415824,71.7,1365294,69.2,50530,3.6
"14276","Kentucky","1998","June",3033078,1932927,63.7,1843034,60.8,89893,4.7
"14277","Louisiana","1998","June",3261172,2056995,63.1,1935191,59.3,121804,5.9
"14278","Maine","1998","June",974637,651113,66.8,622354,63.9,28759,4.4
"14279","Maryland","1998","June",3917117,2763715,70.6,2640057,67.4,123658,4.5
"14280","Massachusetts","1998","June",4851987,3334563,68.7,3226597,66.5,107966,3.2
"14281","Michigan","1998","June",7429376,5003271,67.3,4812901,64.8,190370,3.8
"14282","Minnesota","1998","June",3622876,2708769,74.8,2638592,72.8,70177,2.6
